Type,Context Type,Question
Paper Work,Without Context,Write a press release for a new product launch.
Paper Work,Without Context,Create a proposal for a strategic partnership.
Paper Work,Without Context,Draft an email inviting customers to an exclusive event.
Paper Work,Without Context,Write a formal apology letter to a dissatisfied client.
Paper Work,Without Context,Generate a monthly marketing performance report.
Paper Work,Without Context,Compose a sponsorship request to a local business.
Paper Work,Without Context,Write a newsletter announcement for a seasonal sale.
Paper Work,Without Context,Create a thank-you note for event attendees.
Paper Work,Without Context,Draft a cold outreach email to potential leads.
Paper Work,Without Context,Write a formal memo summarizing campaign goals.
Paper Work,Without Context,Generate a customer satisfaction survey for a recent campaign.
Paper Work,Without Context,Write a project brief for a new advertising campaign.
Paper Work,Without Context,Create a contract template for influencer partnerships.
Paper Work,Without Context,Write a follow-up email to a prospective client.
Paper Work,Without Context,Compose an internal announcement about a team achievement.
Paper Work,Without Context,Create a template for a referral program invitation.
Paper Work,Without Context,Write a script for a product demo video.
Paper Work,Without Context,Compose a letter to request product reviews from customers.
Paper Work,Without Context,Create a formal request for proposal (RFP) for a marketing agency.
Paper Work,Without Context,Write a thank-you email to a guest speaker after an event.
Paper Work,Without Context,Generate a sponsorship proposal for a charity event.
Paper Work,Without Context,Write a formal partnership agreement draft.
Paper Work,Without Context,Compose a press release for a company rebranding.
Paper Work,Without Context,Create a job description for a marketing manager.
Paper Work,Without Context,Write an internal update on the progress of a marketing project.
Paper Work,Without Context,Compose a formal invitation to a grand opening.
Paper Work,Without Context,Create a template for a customer feedback request.
Paper Work,Without Context,Write a monthly newsletter for loyal customers.
Paper Work,Without Context,Compose a formal letter to a business partner.
Paper Work,Without Context,Create a project status report for upper management.
Paper Work,Light Context,Our bakery is launching gluten-free cupcakes. Write a press release announcing this.
Paper Work,Light Context,We hosted a webinar last week. Draft a thank-you email for attendees.
Paper Work,Light Context,Our tech startup wants to partner with a university. Create a proposal letter.
Paper Work,Light Context,The CEO needs a summary report of last month’s ad spend and ROI.
Paper Work,Light Context,A client received damaged promotional materials. Write a polite apology email.
Paper Work,Light Context,We are running a holiday sale. Generate a newsletter announcement for our subscribers.
Paper Work,Light Context,Our agency is pitching to a new retail client. Prepare a proposal outline.
Paper Work,Light Context,We’re organizing a webinar on digital advertising. Write a reminder email for registrants.
Paper Work,Light Context,We want to thank all partners after a successful campaign. Draft a thank-you note.
Paper Work,Light Context,We need a formal memo to introduce a new marketing strategy to the team.
Paper Work,Light Context,Our restaurant is hosting a wine-tasting evening. Write a formal invitation for VIP guests.
Paper Work,Light Context,We’re launching a loyalty program for our e-commerce store. Create an announcement email.
Paper Work,Light Context,Our brand is supporting a local charity run. Draft a sponsorship request letter.
Paper Work,Light Context,We’re updating our privacy policy. Write a notification email for customers.
Paper Work,Light Context,Our marketing team is hiring a new coordinator. Draft a job posting.
Paper Work,Light Context,We’re hosting an influencer brunch. Write a formal invitation for selected influencers.
Paper Work,Light Context,Our company is celebrating its 10th anniversary. Create a press release for the occasion.
Paper Work,Light Context,We’re inviting media to cover our new product launch. Draft the invitation email.
Paper Work,Light Context,We’re offering a referral discount to existing customers. Write an announcement email.
Paper Work,Light Context,Our CEO is speaking at a conference. Write a press release announcing this.
Paper Work,Light Context,We’re launching a new app feature. Draft an update email for users.
Paper Work,Light Context,Our team won a marketing award. Compose a press release to share the news.
Paper Work,Light Context,We want to apologize for a website outage. Draft a formal apology to customers.
Paper Work,Light Context,We’re switching to a new CRM system. Write an internal announcement for staff.
Paper Work,Light Context,Our agency is offering free consultations this month. Draft a promotional email.
Paper Work,Light Context,We’re hosting a charity gala. Write a sponsorship proposal for local businesses.
Paper Work,Light Context,We’re launching a back-to-school campaign. Write a newsletter for parents.
Paper Work,Light Context,We want to thank volunteers after a successful event. Draft a thank-you letter.
Paper Work,Light Context,We’re hosting a product demo day. Write an invitation for industry professionals.
Paper Work,Full Context,Our boutique hotel is opening a rooftop restaurant next month. We’re targeting local food bloggers and lifestyle magazines. Please draft a press release that highlights our unique menu, panoramic views, and opening event details.
Paper Work,Full Context,We just finished a three-day trade show in Las Vegas, where we gathered over 200 leads and gave live product demos. Write a follow-up email for the sales team to send to all attendees, thanking them for visiting our booth and inviting them to book a demo call.
Paper Work,Full Context,Our eco-friendly cleaning brand wants to sponsor a city marathon. Draft a sponsorship proposal that outlines our company values, proposed activations at the event, and the benefits for the marathon organizers.
Paper Work,Full Context,The marketing team needs a quarterly report summarizing campaign performance across email, social, and print, with recommendations for next quarter.
Paper Work,Full Context,A major client complained about delays in campaign delivery. Write a formal apology letter, offering compensation and outlining steps we’re taking to improve.
Paper Work,Full Context,We are launching a new app targeting college students. Draft an email to university administrators introducing the app and proposing a campus partnership.
Paper Work,Full Context,Our non-profit is hosting a fundraising gala next month. Create a formal invitation letter for local business owners, highlighting sponsorship opportunities and event details.
Paper Work,Full Context,After a successful influencer campaign, we want to send personalized thank-you notes to each influencer. Draft a template that can be customized for different personalities.
Paper Work,Full Context,Our e-commerce platform is rolling out a loyalty program. Write an announcement email to current users explaining the perks and sign-up process.
Paper Work,Full Context,We received negative feedback from a long-standing B2B client regarding campaign delays. Write a formal apology letter, offer a solution, and reassure them of our commitment to service.
Paper Work,Full Context,Our restaurant chain is launching a new menu across all locations. Draft a press release that highlights the culinary inspiration, chef’s background, and special launch events.
Paper Work,Full Context,We’re organizing a virtual summit for digital marketers. Draft an invitation for keynote speakers, outlining the event’s goals and benefits of participation.
Paper Work,Full Context,Our fashion brand is collaborating with a well-known artist for a limited-edition collection. Write a press release highlighting the partnership and collection details.
Paper Work,Full Context,We want to pitch a co-branded campaign to a popular beverage company. Draft a proposal that emphasizes mutual benefits and creative concepts.
Paper Work,Full Context,Our team is preparing for a quarterly board meeting. Write a briefing document summarizing all major marketing initiatives and their outcomes.
Paper Work,Full Context,We’re launching a sustainability campaign for our beauty products. Draft a press release emphasizing eco-friendly packaging and ethical sourcing.
Paper Work,Full Context,Our online course platform is offering scholarships to underrepresented students. Write an announcement email for educational partners.
Paper Work,Full Context,We’re hosting a “Customer Appreciation Week” in-store. Draft a formal invitation for loyal customers, detailing activities and special offers.
Paper Work,Full Context,Our SaaS company is rolling out a new feature for enterprise clients. Draft a technical update email for IT managers.
Paper Work,Full Context,Our agency is applying for an industry award. Write a submission letter summarizing our achievements and unique approach.
Paper Work,Full Context,We’re launching a community outreach initiative in partnership with local schools. Draft a proposal for school administrators, outlining program goals and benefits.
Paper Work,Full Context,Our event planning company is hosting a wedding expo. Write a sponsorship proposal for bridal vendors, detailing booth options and expected attendance.
Paper Work,Full Context,We want to thank all stakeholders after a successful product launch. Draft a formal thank-you letter for distribution.
Paper Work,Full Context,Our company is merging with a competitor. Write an internal announcement for staff, outlining next steps and addressing concerns.
Paper Work,Full Context,We’re inviting journalists to a behind-the-scenes tour of our new factory. Draft the invitation email, highlighting what makes the tour unique.
Paper Work,Full Context,Our non-profit is applying for a government grant. Write a proposal that details our mission, recent successes, and intended use of funds.
Paper Work,Full Context,We’re launching a podcast for marketing professionals. Draft an invitation for industry experts to be guests, outlining the topics and benefits.
Paper Work,Full Context,Our CEO is retiring after 20 years. Draft a press release celebrating their legacy and announcing the new CEO.
Paper Work,Full Context,We’re piloting a new delivery service for our restaurant. Write an announcement email for regular customers, explaining how to use the service.
Summary,Without Context,Summarize this marketing plan.
Summary,Without Context,Give a brief overview of this product launch.
Summary,Without Context,Condense this customer feedback into key themes.
Summary,Without Context,Summarize this month’s social media analytics.
Summary,Without Context,Give a short summary of this competitor analysis.
Summary,Without Context,Provide a recap of this team meeting.
Summary,Without Context,Summarize the main findings from this market research.
Summary,Without Context,Condense this event report into a few bullet points.
Summary,Without Context,Give a summary of this advertising campaign’s results.
Summary,Without Context,Summarize the key elements of this brand strategy.
