Type,Context Level,Question
Paper Work,Without Context,ช่วยเขียน campaign proposal สำหรับสินค้าตัวใหม่ในตลาด FMCG
Paper Work,Without Context,Generate internal email แจ้งเปลี่ยน target group ให้ทีม marketing
Paper Work,Without Context,เขียน marketing report สรุปยอดขาย Q2 ภาษาไทย
Paper Work,Without Context,ร่าง press release สำหรับเปิดตัว real estate project ใหม่
Paper Work,Without Context,Compose a formal brief สำหรับ creative team เกี่ยวกับโปรโมชั่น summer
Paper Work,Without Context,ช่วยร่าง email แจ้งเตือนลูกค้าเกี่ยวกับ policy ใหม่ของ loyalty program
Paper Work,Without Context,Generate product launch plan สำหรับสินค้าเทคโนโลยี
Paper Work,Without Context,ขอ template สำหรับ internal memo แจ้งเปลี่ยน KPI
Paper Work,Without Context,เขียน PR invitation สำหรับ event เปิดตัวร้านอาหารใหม่
Paper Work,Without Context,Draft a proposal สำหรับ partnership กับ influencer ชื่อดัง
Paper Work,Without Context,ช่วยเขียน meeting agenda สำหรับ marketing meeting สัปดาห์หน้า
Paper Work,Without Context,Compose job description สำหรับตำแหน่ง marketing analyst
Paper Work,Without Context,ขอ business letter ภาษาไทยสำหรับติดต่อ supplier
Paper Work,Without Context,เขียน campaign brief สำหรับ seasonal promotion
Paper Work,Without Context,Generate monthly sales summary สำหรับสินค้ากลุ่ม fashion
Paper Work,Without Context,ช่วยร่าง internal announcement เรื่อง team restructure
Paper Work,Without Context,Create a project timeline สำหรับ digital campaign
Paper Work,Without Context,ช่วยเขียน thank you letter สำหรับลูกค้าหลังจบ event
Paper Work,Without Context,ขอ template สำหรับขอ feedback จากลูกค้าหลังใช้งาน product
Paper Work,Without Context,Compose a formal invitation สำหรับงานสัมมนาการตลาด
Paper Work,Without Context,ช่วยเขียน proposal สำหรับจัด training ให้ทีม marketing
Paper Work,Without Context,ร่าง email แจ้งเตือนเรื่อง deadline ของ campaign
Paper Work,Without Context,Generate a content calendar สำหรับ Q1
Paper Work,Without Context,ขอรายงานสรุปยอดขายรายเดือนสำหรับสินค้า FMCG
Paper Work,Without Context,Compose a follow-up email สำหรับ lead ที่สนใจสินค้า
Paper Work,Without Context,ช่วยร่าง press release ประกาศความร่วมมือกับ partner ใหม่
Paper Work,Without Context,Generate event recap สำหรับงานเปิดตัวสินค้า
Paper Work,Without Context,เขียน internal report สรุป performance ของ Facebook campaign
Paper Work,Without Context,ขอ template สำหรับขอ testimonial จากลูกค้า B2B
Paper Work,Without Context,Compose a formal letter ขอ sponsorship สำหรับ event
Paper Work,Light Context,เราต้องการ launch สินค้าแฟชั่นใหม่ผ่าน social media ช่วยเขียน content plan ให้หน่อย
Paper Work,Light Context,ขอ marketing proposal สำหรับงาน event เปิดตัวคอนโดในกรุงเทพที่เน้น target group วัยทำงาน
Paper Work,Light Context,บริษัท tech startup ของเราต้องส่ง internal memo แจ้งเรื่อง KPI ใหม่ ช่วยร่างให้หน่อย
Paper Work,Light Context,ขอ email template สำหรับแจ้งลูกค้าเกี่ยวกับ loyalty program ที่จะเริ่มเดือนหน้า
Paper Work,Light Context,เราจะมี PR event สำหรับสินค้ากลุ่ม beauty ช่วยเขียน invitation letter แบบเป็นทางการ
Paper Work,Light Context,ขอ campaign brief สำหรับโปรโมชั่น summer sale ที่จะใช้ใน LINE OA
Paper Work,Light Context,บริษัท real estate ต้องการ business proposal สำหรับโครงการใหม่ที่เน้น sustainability
Paper Work,Light Context,ช่วยร่าง announcement แจ้งทีมเกี่ยวกับการเปลี่ยน marketing strategy
Paper Work,Light Context,ขอ internal report สรุปยอดขายสินค้า tech ช่วง 6 เดือนแรก
Paper Work,Light Context,Generate a media kit สำหรับ brand ใหม่ในตลาด fashion
Paper Work,Light Context,ขอ project timeline สำหรับ launching event ของสินค้า FMCG
Paper Work,Light Context,Generate press release สำหรับประกาศ partnership กับ influencer
Paper Work,Light Context,ช่วยเขียน follow-up email สำหรับ lead ที่สนใจ service ของเรา
Paper Work,Light Context,ร่าง internal email แจ้งทีมว่าเราจะ rebrand corporate identity
Paper Work,Light Context,ขอ content calendar 1 เดือนสำหรับ Facebook page ร้านอาหาร
Paper Work,Light Context,ช่วยร่าง thank you letter สำหรับลูกค้าที่เข้าร่วม campaign ล่าสุด
Paper Work,Light Context,Generate a proposal สำหรับจัด workshop ด้าน digital marketing
Paper Work,Light Context,ขอ memo แจ้งเตือนทีมเกี่ยวกับ deadline ของ Q3 campaign
Paper Work,Light Context,Compose a formal letter สำหรับขอใบเสนอราคาจาก supplier
Paper Work,Light Context,ขอ meeting agenda สำหรับประชุมวางแผน campaign ใหม่
Paper Work,Light Context,Generate email template สำหรับแจ้งลูกค้าเกี่ยวกับ product restock
Paper Work,Light Context,ช่วยร่าง press release สำหรับเปิดตัว mobile app ใหม่
Paper Work,Light Context,ขอ template สำหรับขอ review จากลูกค้าหลังใช้งานสินค้า fashion
Paper Work,Light Context,Compose a partnership proposal สำหรับร้านอาหารเปิดใหม่
Paper Work,Light Context,Generate monthly report สรุป performance ของ influencer campaign
Paper Work,Light Context,ช่วยเขียน announcement แจ้งทีมเรื่องเปลี่ยนแปลง leadership
Paper Work,Light Context,ขอ proposal สำหรับจัด CSR event ในโรงเรียน
Paper Work,Full Context,บริษัท FMCG ต้องการสร้าง quarterly report สรุปยอดขาย, conversion rate, และแนะนำ action plan สำหรับ Q4 ให้ผู้บริหาร ช่วยเขียนรายงานนี้ให้ครบถ้วน
Paper Work,Full Context,ทีม marketing ของบริษัทอสังหาริมทรัพย์กำลังจะ pitch campaign ใหม่กับลูกค้า corporate โดยต้องเน้น ROI, budget, และ execution timeline ช่วยร่าง proposal ฉบับสมบูรณ์
Paper Work,Full Context,บริษัท education tech ต้องการ internal email แจ้งเปลี่ยน strategy ด้าน content marketing พร้อมสรุปเหตุผลและแนวทางใหม่ให้ทีมงานทุกคนเข้าใจง่าย
Paper Work,Full Context,เราต้องการ press release สำหรับเปิดตัว mobile app ที่เน้น target group กลุ่มนักศึกษา โดยต้องมี key message เรื่อง usability และ security
Paper Work,Full Context,ทีม creative ต้องการ project brief สำหรับ fashion campaign ที่จะถ่ายทำ outdoor, เน้นความ playful และต้องมี deliverable เป็น video กับ social post
Paper Work,Full Context,บริษัท tech startup ต้องการ proposal สำหรับ joint venture กับ partner ต่างประเทศ โดยต้องสรุป business model, benefit, และ execution plan
Paper Work,Full Context,ขอ internal report สำหรับสรุปผลการใช้ influencer ใน campaign ล่าสุด พร้อม insight และข้อเสนอแนะสำหรับ improvement
Paper Work,Full Context,บริษัท fashion ต้องการ content calendar 3 เดือนสำหรับโปรโมทสินค้าใหม่ผ่าน Instagram, Facebook, และ TikTok
Paper Work,Full Context,ขอ press release สำหรับเปิดตัวคอนโด luxury ที่เน้น eco-friendly และ smart home system
Paper Work,Full Context,ทีม marketing ของบริษัท FMCG ต้องเขียน internal memo แจ้งเปลี่ยน packaging ใหม่ พร้อมสรุป benefit และผลต่อ brand image
Paper Work,Full Context,ขอ proposal สำหรับจัด training session ให้กับทีมขายของบริษัท real estate โดยเน้น digital marketing skill
Paper Work,Full Context,บริษัท education tech ต้องการ business letter แจ้ง partner เรื่องเปลี่ยนแปลง product feature และ timeline rollout
Paper Work,Full Context,ขอ meeting agenda สำหรับประชุม brainstorm campaign B2B ที่เน้น lead generation
Paper Work,Full Context,บริษัท tech ต้องการรายงานสรุป performance ของ Q2 digital ads, KPI, และข้อเสนอแนะ optimization
Paper Work,Full Context,ขอ memo แจ้งเตือนทีม marketing ให้เตรียมพร้อมสำหรับ seasonal campaign ที่จะเริ่มเดือนหน้า
Paper Work,Full Context,บริษัท FMCG ต้องการ event recap สำหรับ roadshow ที่จัดใน 5 จังหวัด พร้อมสรุปผลและ feedback จากลูกค้า
Paper Work,Full Context,ขอ template email สำหรับแจ้งลูกค้าเกี่ยวกับการปรับปรุง privacy policy
Paper Work,Full Context,บริษัทอสังหาฯ ต้องการ proposal สำหรับจัด community event เพื่อสร้าง engagement กับลูกบ้าน
Paper Work,Full Context,ทีม content ขอ project brief สำหรับ launching campaign สินค้า tech ที่เน้น target group วัยทำงาน
Paper Work,Full Context,บริษัท fashion ต้องการ thank you letter สำหรับ partner ที่ร่วมมือใน influencer campaign
Paper Work,Full Context,ขอ internal announcement แจ้งทีมเรื่องเปลี่ยน structure ของ marketing department
Paper Work,Full Context,บริษัท tech ต้องการ press release สำหรับประกาศความร่วมมือกับมหาวิทยาลัยชื่อดังด้าน AI research
Paper Work,Full Context,ขอ proposal สำหรับจัด CSR project ในโรงเรียนชนบท โดยเน้นการใช้ digital technology
Paper Work,Full Context,ทีม marketing ต้องการรายงานสรุปผลของ loyalty program พร้อม insight และ action plan
Paper Work,Full Context,บริษัท real estate ต้องการ business letter สำหรับแจ้งลูกค้าเรื่อง new launch และ pre-sale event
Paper Work,Full Context,ขอ internal memo สรุปผล survey ความพึงพอใจของทีมงานหลังใช้ marketing tool ใหม่
Summary,Without Context,ช่วยสรุป feedback จากลูกค้าสำหรับสินค้า tech ตัวล่าสุด
Summary,Without Context,สรุปเนื้อหา campaign brief ภาษาไทย
Summary,Without Context,Summarize key points จาก marketing meeting เมื่อวานนี้
Summary,Without Context,ช่วยสรุปผลลัพธ์ของ Facebook Ads campaign เดือนที่ผ่านมา
Summary,Without Context,สรุปเนื้อหา webinar ด้าน digital marketing ที่ทีมเข้าร่วม
Summary,Without Context,ช่วยสรุป customer review สำหรับสินค้า fashion
Summary,Without Context,สรุปข้อมูลจาก survey ที่ส่งให้ target group
Summary,Without Context,ช่วย summarize รายงานยอดขายประจำเดือน
Summary,Without Context,สรุปข้อเสนอแนะจาก partner agency
Summary,Without Context,ช่วยสรุปเนื้อหา press release ล่าสุดของบริษัทอสังหาฯ
Summary,Without Context,สรุปผลลัพธ์ของ TikTok campaign รอบล่าสุด
Summary,Without Context,ช่วย summarize feedback จาก internal training session
Summary,Without Context,สรุป insight จาก user comments ใน Instagram post
Summary,Without Context,ช่วยสรุปเนื้อหา conference call กับทีม creative
Summary,Without Context,สรุป key takeaway จาก event ที่เพิ่งจัดเสร็จ
Summary,Without Context,ช่วย summarize ผลการทดสอบ product ใหม่
Summary,Without Context,สรุปข้อดีข้อเสียของ marketing channel ต่างๆ
Summary,Without Context,ช่วยสรุปผลลัพธ์ของ email marketing เดือนนี้
Summary,Without Context,สรุปเนื้อหา brand guideline ภาษาไทย
Summary,Without Context,ช่วย summarize pain point จาก customer journey map
Summary,Without Context,สรุปผลการใช้ influencer ในแคมเปญล่าสุด
Summary,Without Context,ช่วยสรุปเนื้อหา workshop ที่ทีมเข้าร่วม
Summary,Without Context,สรุปผลลัพธ์ของ Google Ads campaign
Summary,Without Context,ช่วยสรุปข้อเสนอแนะจากลูกค้าหลังจบ event
Summary,Without Context,สรุปเนื้อหา press conference ล่าสุด
Summary,Without Context,ช่วย summarize key insight จาก focus group
Summary,Without Context,สรุปเนื้อหา sales report เดือนนี้
Summary,Without Context,ช่วยสรุปข้อดีข้อเสียของ loyalty program
Summary,Without Context,สรุปผลลัพธ์ของ campaign ที่ใช้ multiple channels
Summary,Without Context,ช่วย summarize feedback จาก customer service chat
Summary,Light Context,ขอ summary สั้นๆ ของ customer insight สำหรับสินค้า FMCG ที่เพิ่งเปิดตัว
Summary,Light Context,ช่วยสรุปเนื้อหา PR event ล่าสุดของบริษัทอสังหาฯ เป็น bullet points
Summary,Light Context,ทีม content ขอ summary ของ user comments ใน TikTok campaign รอบนี้
Summary,Light Context,ขอสรุป feedback จาก partner agency ที่ส่งมาเกี่ยวกับ KPI ของเรา
Summary,Light Context,ช่วยสรุป key takeaway จาก internal training session ด้าน branding
Summary,Light Context,ช่วย summarize ผลการทดสอบสินค้า tech ที่เพิ่ง launch
Summary,Light Context,ขอ summary insight จาก survey ของ target group วัยรุ่น
Summary,Light Context,ช่วยสรุปเนื้อหา webinar ด้าน digital marketing ที่จัดสัปดาห์ที่ผ่านมา
Summary,Light Context,ขอสรุปผลลัพธ์ของ Facebook campaign ที่เน้น engagement
Summary,Light Context,ช่วย summarize ข้อดีข้อเสียของโปรโมชั่น flash sale
Summary,Light Context,ขอ summary สั้นๆ ของ event ที่จัดในห้างสรรพสินค้า
Summary,Light Context,ช่วยสรุป insight จาก customer review ใน Shopee
Summary,Light Context,ขอ summary ผลลัพธ์ของ Instagram story campaign
Summary,Light Context,ช่วย summarize ข้อเสนอแนะจากลูกค้าหลังใช้บริการ delivery
Summary,Light Context,ขอสรุปเนื้อหา creative brief สำหรับ seasonal campaign
Summary,Light Context,ช่วยสรุปผลลัพธ์ของ PR stunt ที่เพิ่งทำ
Summary,Light Context,ขอ summary insight จาก social listening report
Summary,Light Context,ช่วยสรุป feedback จากลูกค้า B2B หลังจบ workshop
Summary,Light Context,ขอสรุปเนื้อหา press release สำหรับเปิดตัวสินค้าใหม่
Summary,Light Context,ช่วย summarize ข้อดีข้อเสียของ influencer collaboration
Summary,Light Context,ขอ summary ผลลัพธ์ของ LINE OA campaign
Summary,Light Context,ช่วยสรุป insight จาก Google Analytics report
Summary,Light Context,ขอสรุป key takeaway จาก customer interview
Summary,Light Context,ช่วย summarize ข้อเสนอแนะจากทีมขาย
Summary,Light Context,ขอสรุปผลลัพธ์ของ YouTube Ads campaign
Summary,Light Context,ช่วย summarize insight จาก Facebook group discussion
Summary,Light Context,ขอสรุปเนื้อหา meeting กับ partner agency
Summary,Light Context,ช่วยสรุป feedback จากลูกค้าที่ใช้บริการครั้งแรก
Summary,Full Context,ในงานสัมมนา real estate ที่ผ่านมา มี panel discussion เรื่อง digital transformation, customer journey, และ pain point ของลูกค้า ช่วยสรุปเนื้อหาแต่ละหัวข้อให้เข้าใจง่าย
