type,contextLevel,sentence
"Paper Work","Without Context","ช่วยร่าง press release สำหรับสินค้าใหม่ที่เน้นเทรนด์การตลาดปีนี้"
"Paper Work","Without Context","สร้าง proposal สำหรับ partnership ที่เกี่ยวข้องกับ awareness campaign"
"Paper Work","Without Context","เขียนเอกสารประชาสัมพันธ์เปิดตัวแอปใหม่ พร้อม reasoning จุดเด่น"
"Paper Work","Without Context","ช่วยจัดทำเอกสารสรุปผลการประชุมที่พูดถึง caption generation"
"Paper Work","Without Context","ขอแบบฟอร์ม proposal สำหรับขอความร่วมมือกับ influencer ใน trending campaign"
"Paper Work","Without Context","เขียน press release เปิดตัวบ้านเดี่ยวใหม่พร้อมสรุปข้อดีด้าน location"
"Paper Work","Without Context","ร่าง proposal สำหรับกิจกรรม simulation role play ในงานอีเวนต์"
"Paper Work","Without Context","ช่วยเขียนเอกสารสรุปเทรนด์การตลาดปีล่าสุดสำหรับทีมงาน"
"Paper Work","Without Context","เขียน press release สำหรับเปิดตัวสินค้าแฟชั่นใหม่โดยเน้น reasoning"
"Paper Work","Without Context","ร่าง proposal สำหรับขอร่วมมือกับโรงเรียนใน marketing campaign"
"Paper Work","Without Context","ช่วยเขียน press release สำหรับสินค้า gadget ที่ต้องพรีเซนต์ใน simulation role play"
"Paper Work","Without Context","ขอ proposal สำหรับทำ partnership ร่วมกับบริษัทอสังหาฯ ที่เน้น awareness"
"Paper Work","Without Context","เขียน press release สำหรับแคมเปญใหม่ที่ต้องมี caption สั้นๆ"
"Paper Work","Without Context","ช่วยร่าง proposal สำหรับกิจกรรม trending ในวงการอาหาร"
"Paper Work","Without Context","เขียนเอกสารสรุปผลการประชุมที่มีการพูดถึง reasoning ด้านการตลาด"
"Paper Work","Without Context","ร่าง press release สำหรับเปิดตัว online course ที่เน้นเทรนด์การศึกษา"
"Paper Work","Without Context","ขอ proposal สำหรับกิจกรรมจำลองเหตุการณ์ใน marketing planning"
"Paper Work","Without Context","ช่วยเขียน press release สำหรับโปรโมทบ้านเดี่ยวโดยใช้ caption ที่ดึงดูด"
"Paper Work","Without Context","ร่าง proposal สำหรับขอความร่วมมือจัด event ด้านสุขภาพที่เน้น reasoning"
"Paper Work","Without Context","ช่วยเขียนเอกสารประชาสัมพันธ์เปิดตัวสินค้าใหม่ที่มีเทรนด์ caption generation"
